Order_ID,Order_Date,Total,Subtotal,Discount,P_Service,Payment_Method,Purchase_Status,UF,Region,Category,D_Forecast,D_Date,Services,Quantity,delivery_lead_time,delivery_delay_days,is_late,is_confirmed,freight_share,discount_abs,avg_item_price,order_year,order_month,order_month_name,order_quarter,order_dayofweek,order_dayname
1,2025-04-12 00:52:33,3586.28,3958.2,0.1048,42.9,Credito,Processando,AC,Norte,Eletrônicos,2025-05-03 14:45:17,2025-05-03 14:45:17,Same-Day,2,21.0,0.0,0.0,0,0.011962256154009168,414.81936,1979.1,2025,4,April,2,5,Saturday
2,2025-05-05 01:02:38,1636.64,1799.01,0.1141,42.9,PIX,Em Analise,PB,Nordeste,Eletrônicos,2025-05-14 07:31:07,2025-05-17 07:31:07,Same-Day,1,12.0,3.0,1.0,0,0.026212239710626646,205.26704099999998,1799.01,2025,5,May,2,0,Monday
3,2025-04-27 23:05:38,2019.82,2144.0,0.0686,22.9,Boleto,Cancelado,RR,Norte,Eletrônicos,2025-05-10 15:29:43,2025-05-10 15:29:43,Standard,2,,,,0,0.011337643948470656,147.0784,1072.0,2025,4,April,2,6,Sunday
4,2025-04-10 02:42:52,237.23,199.6,0.0264,42.9,Debito,Processando,RO,Norte,Eletrônicos,2025-05-07 16:01:14,2025-05-10 16:01:14,Same-Day,4,30.0,3.0,1.0,0,0.18083716224760782,5.2694399999999995,49.9,2025,4,April,2,3,Thursday
5,2025-05-12 21:55:33,193.33,161.7,0.0697,42.9,Credito,Em Analise,AC,Norte,Eletrônicos,2025-04-30 15:40:39,2025-05-04 15:40:39,Same-Day,3,-9.0,4.0,1.0,0,0.2219003775927171,11.270489999999999,53.9,2025,5,May,2,0,Monday
6,2025-05-11 20:17:17,1666.13,1798.0,0.0972,42.9,Credito,Cancelado,PB,Nordeste,Eletrônicos,2025-04-22 13:34:38,2025-04-23 13:34:38,Same-Day,2,,,,0,0.025748290949685795,174.76559999999998,899.0,2025,5,May,2,6,Sunday
7,2025-03-18 05:42:47,4947.18,5397.03,0.0913,42.9,Boleto,Em Analise,RO,Norte,Eletrônicos,2025-04-26 02:07:24,2025-04-29 02:07:24,Same-Day,3,41.0,3.0,1.0,0,0.008671606854814258,492.74883900000003,1799.01,2025,3,March,1,1,Tuesday
8,2025-02-27 06:54:32,9143.39,9208.0,0.0106,32.99,PIX,Confirmado,PR,Sul,Eletrônicos,2025-05-03 10:22:08,2025-05-05 10:22:08,Scheduled,2,67.0,2.0,1.0,1,0.0036080709671139485,97.6048,4604.0,2025,2,February,1,3,Thursday
9,2025-05-04 04:29:08,467.54,449.0,0.0097,22.9,PIX,Em Analise,ES,Sudeste,Eletrônicos,2025-04-19 11:03:14,2025-04-22 11:03:14,Standard,1,-12.0,3.0,1.0,0,0.048979766437096284,4.3553,449.0,2025,5,May,2,6,Sunday
10,2025-04-16 20:57:08,7867.95,9149.97,0.1448,42.9,PIX,Cancelado,RS,Sul,Eletrônicos,2025-05-11 06:11:00,2025-05-14 06:11:00,Same-Day,3,,,,0,0.005452500333632013,1324.9156560000001,3049.99,2025,4,April,2,2,Wednesday
11,2025-04-16 02:03:43,4260.5,4316.0,0.0228,42.9,Debito,Em Analise,PB,Nordeste,Eletrônicos,2025-04-14 07:35:31,2025-04-18 07:35:31,Same-Day,4,2.0,4.0,1.0,0,0.010069240699448421,98.40480000000001,1079.0,2025,4,April,2,2,Wednesday
12,2025-03-25 09:52:22,1504.73,1539.8,0.0442,32.99,Credito,Confirmado,AC,Norte,Eletrônicos,2025-04-25 00:24:52,2025-04-29 00:24:52,Scheduled,2,34.0,4.0,1.0,1,0.021924199025738837,68.05916,769.9,2025,3,March,1,1,Tuesday
14,2025-02-26 12:39:38,4093.47,4316.0,0.0615,42.9,Boleto,Processando,ES,Sudeste,Eletrônicos,2025-05-11 16:28:28,2025-05-13 16:28:28,Same-Day,4,76.0,2.0,1.0,0,0.0104801061202354,265.43399999999997,1079.0,2025,2,February,1,2,Wednesday
15,2025-03-05 23:27:59,295.56,259.72,0.0272,42.9,Credito,Processando,PA,Norte,Eletrônicos,2025-04-28 11:37:36,2025-05-01 11:37:36,Same-Day,2,56.0,3.0,1.0,0,0.14514819326025172,7.064384,129.86,2025,3,March,1,2,Wednesday
16,2025-03-06 14:45:45,119.24,103.6,0.0701,22.9,Debito,Cancelado,RJ,Sudeste,Eletrônicos,2025-04-30 05:10:29,2025-05-05 05:10:29,Standard,2,,,,0,0.19204964776920497,7.262359999999999,51.8,2025,3,March,1,3,Thursday
17,2025-02-28 06:40:58,3008.64,3253.14,0.0853,32.99,Boleto,Confirmado,CE,Nordeste,Eletrônicos,2025-05-05 01:49:22,2025-05-09 01:49:22,Scheduled,2,69.0,4.0,1.0,1,0.010965087215486068,277.492842,1626.57,2025,2,February,1,4,Friday
18,2025-03-11 05:37:17,143.38,107.8,0.0679,42.9,Credito,Processando,PE,Nordeste,Eletrônicos,2025-04-19 06:49:11,2025-04-23 06:49:11,Same-Day,2,43.0,4.0,1.0,0,0.2992049100292928,7.3196200000000005,53.9,2025,3,March,1,1,Tuesday
19,2025-05-08 04:47:07,238.29,249.82,0.1378,22.9,Credito,Cancelado,CE,Nordeste,Eletrônicos,2025-05-07 11:50:38,2025-05-10 11:50:38,Standard,2,,,,0,0.09610138906374585,34.425196,124.91,2025,5,May,2,3,Thursday
20,2025-03-10 10:30:01,186.21,149.7,0.0427,42.9,Credito,Em Analise,SP,Sudeste,Eletrônicos,2025-05-08 15:34:41,2025-05-13 15:34:41,Same-Day,3,64.0,5.0,1.0,0,0.2303850491380699,6.392189999999999,49.9,2025,3,March,1,0,Monday
21,2025-04-01 12:47:17,2973.33,3253.14,0.0992,42.9,PIX,Em Analise,PI,Nordeste,Eletrônicos,2025-05-03 13:18:34,2025-05-03 13:18:34,Same-Day,2,32.0,0.0,0.0,0,0.014428267296263784,322.711488,1626.57,2025,4,April,2,1,Tuesday
22,2025-03-12 14:29:34,1096.89,1072.0,0.0168,42.9,Credito,Em Analise,PE,Nordeste,Eletrônicos,2025-04-28 16:07:18,2025-04-28 16:07:18,Same-Day,1,47.0,0.0,0.0,0,0.03911057626562371,18.0096,1072.0,2025,3,March,1,2,Wednesday
23,2025-02-25 05:46:45,1819.39,1898.0,0.0588,32.99,Credito,Em Analise,PB,Nordeste,Eletrônicos,2025-04-22 20:48:35,2025-04-26 20:48:35,Scheduled,2,60.0,4.0,1.0,0,0.01813245098631959,111.6024,949.0,2025,2,February,1,1,Tuesday
24,2025-04-20 21:15:27,886.47,949.0,0.1111,42.9,Debito,Cancelado,RS,Sul,Eletrônicos,2025-04-29 07:29:22,2025-05-04 07:29:22,Same-Day,1,,,,0,0.04839419269687637,105.43390000000001,949.0,2025,4,April,2,6,Sunday
25,2025-03-25 13:17:21,133.1,103.6,0.0337,32.99,PIX,Confirmado,PI,Nordeste,Eletrônicos,2025-04-17 15:51:23,2025-04-19 15:51:23,Scheduled,2,25.0,2.0,1.0,1,0.24785875281743053,3.49132,51.8,2025,3,March,1,1,Tuesday
