Order_ID,Order_Date,UF,Region,Category,Subcategory,Quantity,Subtotal,Discount,P_Service,Total,Payment_Method,Purchase_Status,Services,D_Forecast,D_Date
ORD000001,2024-02-27,SP,Sudeste,Casa e Decoração,Utensílios,3,2434.88,0.05,14.68,2327.81,Cartão de Crédito,Confirmado,Standard,2024-03-10,2024-03-11
ORD000002,2024-04-24,MG,Sudeste,Eletrônicos,Smartwatches,1,3686.33,0.15,40.62,3174.0,Cartão de Crédito,Confirmado,Same-Day,2024-04-24,2024-04-24
ORD000003,2024-02-14,DF,Centro-Oeste,Livros,Ficção,1,20.92,0.0,12.54,33.46,Cartão de Débito,Confirmado,Standard,2024-02-21,2024-02-22
ORD000004,2024-01-16,RJ,Sudeste,Moda,Calças,1,316.59,0.0,11.95,328.54,Cartão de Débito,Cancelado,Standard,2024-01-22,
ORD000005,2024-09-15,DF,Centro-Oeste,Eletrônicos,Smartwatches,1,2234.37,0.0,33.55,2267.92,Boleto,Cancelado,Standard,2024-09-22,
ORD000006,2024-04-11,ES,Sudeste,Esportes,Acessórios,1,734.71,0.0,25.6,760.31,Boleto,Confirmado,Standard,2024-04-17,2024-04-19
ORD000007,2024-04-22,PE,Nordeste,Esportes,Suplementos,2,729.02,0.05,35.25,727.82,Boleto,Cancelado,Standard,2024-05-01,
ORD000008,2024-01-04,PA,Norte,Moda,Calçados,1,224.9,0.05,23.96,237.62,Boleto,Confirmado,Standard,2024-01-09,2024-01-07
ORD000009,2024-06-23,PR,Sul,Moda,Calças,1,397.51,0.0,65.34,462.85,PIX,Confirmado,Same-Day,2024-06-23,2024-06-23
ORD000010,2024-06-21,RJ,Sudeste,Eletrônicos,Fones de Ouvido,2,6859.69,0.1,12.86,6186.58,Cartão de Crédito,Confirmado,Standard,2024-06-30,2024-07-04
ORD000011,2024-02-19,SC,Sul,Casa e Decoração,Têxtil,1,621.97,0.0,44.71,666.68,PIX,Confirmado,Scheduled,2024-02-27,2024-02-25
ORD000012,2024-05-15,PA,Norte,Eletrônicos,Fones de Ouvido,1,3697.98,0.0,47.93,3745.91,Cartão de Crédito,Confirmado,Standard,2024-05-23,2024-06-03
ORD000013,2024-10-01,RJ,Sudeste,Livros,Ficção,1,98.57,0.0,35.96,134.53,PIX,Confirmado,Scheduled,2024-10-05,2024-10-06
ORD000014,2024-10-09,PR,Sul,Esportes,Suplementos,1,155.96,0.0,36.5,192.46,Cartão de Crédito,Confirmado,Standard,2024-10-22,2024-10-20
ORD000015,2024-10-22,RS,Sul,Eletrônicos,Smartphones,1,1724.6,0.0,19.14,1743.74,Cartão de Crédito,Confirmado,Standard,2024-10-31,2024-10-30
